Model type,Regularization,Iteration,Accuracy,L0 Precision,L1 Precision,L0 Recall,L1 Recall,L0 F1,L1 F1,
All Data,2.0E-6,2,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,3,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,2.0E-6,4,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,5,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,2.0E-6,6,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,7,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,2.0E-6,8,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,9,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,10,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,11,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,12,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,13,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,14,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,15,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,16,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,17,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,18,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,19,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,20,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,21,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,22,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,23,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-6,24,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,0,0.8,0.8,0.0,1.0,0.0,0.888888888888889,0.0,
All Data,4.0E-6,1,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,4.0E-6,2,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,3,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,4.0E-6,4,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,5,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,4.0E-6,6,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,7,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,4.0E-6,8,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,9,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,10,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,11,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,12,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,13,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,14,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,15,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,16,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,17,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,18,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,19,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,20,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,21,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,22,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,23,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-6,24,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,0,0.8,0.8,0.0,1.0,0.0,0.888888888888889,0.0,
All Data,8.0E-6,1,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,8.0E-6,2,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,3,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,8.0E-6,4,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,5,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,8.0E-6,6,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,7,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,8.0E-6,8,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,9,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,10,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,11,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,12,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,13,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,14,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,15,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,16,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,17,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,18,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,19,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,20,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,21,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,22,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,23,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-6,24,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,0,0.8,0.8,0.0,1.0,0.0,0.888888888888889,0.0,
All Data,1.0E-5,1,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,1.0E-5,2,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,3,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,1.0E-5,4,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,5,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,1.0E-5,6,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,7,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,1.0E-5,8,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,9,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,10,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,11,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,12,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,13,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,14,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,15,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,16,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,17,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,18,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,19,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,20,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,21,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,22,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,23,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.0E-5,24,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,0,0.8,0.8,0.0,1.0,0.0,0.888888888888889,0.0,
All Data,2.0E-5,1,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,2.0E-5,2,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,3,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,2.0E-5,4,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,5,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,2.0E-5,6,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,7,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,2.0E-5,8,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,9,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,10,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,11,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,12,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,13,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,14,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,15,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,16,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,17,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,18,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,19,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,20,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,21,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,22,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,23,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,2.0E-5,24,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,0,0.8,0.8,0.0,1.0,0.0,0.888888888888889,0.0,
All Data,4.0E-5,1,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,4.0E-5,2,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,3,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,4.0E-5,4,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,5,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,4.0E-5,6,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,7,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,4.0E-5,8,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,9,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,10,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,11,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,12,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,13,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,14,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,15,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,16,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,17,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,18,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,19,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,20,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,21,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,22,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,23,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,4.0E-5,24,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,0,0.8,0.8,0.0,1.0,0.0,0.888888888888889,0.0,
All Data,8.0E-5,1,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,8.0E-5,2,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,3,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,8.0E-5,4,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,5,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,8.0E-5,6,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,7,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,8.0E-5,8,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,9,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,10,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,11,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,12,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,13,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,14,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,15,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,16,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,17,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,18,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,19,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,20,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,21,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,22,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,23,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,8.0E-5,24,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,0,0.8,0.8,0.0,1.0,0.0,0.888888888888889,0.0,
All Data,1.6E-4,1,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,1.6E-4,2,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,3,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,1.6E-4,4,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,5,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,1.6E-4,6,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,7,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,1.6E-4,8,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,9,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,10,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,11,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,12,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,13,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,14,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,15,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,16,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,17,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,18,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,19,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,20,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,21,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,22,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,23,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,1.6E-4,24,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,0,0.8,0.8,0.0,1.0,0.0,0.888888888888889,0.0,
All Data,3.2E-4,1,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,3.2E-4,2,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,3,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,3.2E-4,4,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,5,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,3.2E-4,6,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,7,0.7,1.0,0.4,0.625,1.0,0.7692307692307693,0.5714285714285715,
All Data,3.2E-4,8,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,9,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,10,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,11,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,12,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,13,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,14,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,15,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,16,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,17,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,18,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
All Data,3.2E-4,19,0.75,1.0,0.4444444444444444,0.6875,1.0,0.8148148148148148,0.6153846153846153,
